TABLE	V2.1
ACTION	INSUPP
AFFECT	INSUPP
ATTRIBUTE-VALUE-RANGE	RET
AFFORDANCES	INSUPP
CAUSE	COMPLEX
CHANGE	COMPLEX
CHANGE-VEC	COMPLEX
CHEM-PERIODIC-TAB-FAM	RET
CHEM-PERIODIC-TAB-LOC	RET
COMPARISON	INSUPP
CONSUMERS-EATING	RET
CONTAINS	RET
CONVERSIONS	RET
COUPLEDRELATIONSHIP	COMPLEX
DURATIONS	INSUPP
DURING	INSUPP
EXAMPLES	RET
FORMEDBY	INSUPP
FREQUENCY	INSUPP
HABITAT	RET
HISTORY	RET
IFTHEN	COMPLEX
INSTANCES	RET
KINDOF	RET
LIFESPAN	RET
LOCATIONS	RET
MADEOF	RET
MEASUREMENTS	RET
NAMES	RET
OPPOSITES	INSUPP
PARTOF	RET
PERCEPTIONS	RET
PREDATOR-PREY	RET
PROCESSROLES	COMPLEX
PROCESSSTAGES	COMPLEX
PROCESSSTAGES-ORDERS	COMPLEX
PROP-CHEM-ACIDITY	RET
PROP-CHEM-CHARGE	RET
PROP-CHEM-REACT	RET
PROP-CHEM-ELEMSYMB	RET
PROP-MAT-DURABILITY	RET
PROP-MAT-OPACITY	RET
PROP-MAT-PURITY-MIXTURE	RET
PROP-ANIMAL-ATTRIB	RET
PROP-ANIMAL-MAT-IM	RET
PROP-ANIMAL-REPROD	RET
PROP-AVG-WEIGHT	RET
PROP-CONDUCTIVITY	RET
PROP-COUNTRY-HEMISPHERE	RET
PROP-DOMRECESS-TRAIT	RET
PROP-ENVIRONMENTATTRIB	RET
PROP-FLEX-RIGIDITY	RET
PROP-GENERIC	RET
PROP-HARDNESS	RET
PROP-INHERITEDLEARNED	RET
PROP-INTENSIVE-EXTENSIVE	RET
PROP-MAGNETISM	RET
PROP-ORBITAL-ROT	RET
PROP-QUANTITY-DATE	RET
PROP-RECYCLABLE	RET
PROP-REL-DIST	RET
PROP-RESOURCES-RENEWABLE	RET
PROP-SOLUTION	RET
PROP-SOLUBILITY	RET
PROP-STATESOFMATTER-SHAPEVOL	RET
PROP-STATESOFMATTER-TEMPS	RET
PROP-THINGS	RET
PROP-WARM-COLD-BLOODED	RET
REQUIRES	INSUPP
SEQ-SPATIAL	RET
SUBDIVISION-COUNTRY	RET
SUBDIVISION-GENERICSPATIAL	RET
SOURCEOF	RET
STAGE-IN-PROCESS	COMPLEX
SYNONYMY	RET
TRANSFER	COMPLEX
UNIT	RET
USEDFOR	INSUPP
VEHICLE	INSUPP
WAVES	INSUPP
XIVORE	RET
